H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,alpha,eps,huber_alpha,val_objective,max_depth,eta,subsample,colsample_bytree,lambda,num_boost_round,w_mid,w_danger,w_tail
6,test,Tuned Hybrid (Graph + XGB residual),99,61.66539001464844,55.40615582084198,131.7303143092401,230,2.0,4.747895592870515,0.15,1.2270387839522326e-06,17.379756308856894,6.0,0.03436043800866858,1.0,0.6518866898974885,5.652714542258326,344.0,2.7042619623242383,5.784242572472718,23.72995065755793
6,test,XGB,90,37.66999816894531,19.261259078979492,44.91322742853017,2301,,,,,,,,,,,,,,
6,test,XGB,95,44.984493255615234,26.976848602294922,62.07211146307474,1150,,,,,,,,,,,,,,
6,test,XGB,99,61.66539001464844,58.66031265258789,131.74524866906967,230,,,,,,,,,,,,,,
12,test,Huber,90,37.66999816894531,21.048271899796067,46.148386761031915,2301,,,,,,,,,,,,,,
12,test,Huber,95,44.984493255615234,28.976803434223726,63.148765571804645,1150,,,,,,,,,,,,,,
12,test,Huber,99,61.66539001464844,61.42101386511745,133.33054118403024,230,,,,,,,,,,,,,,
12,test,Huber Graph,90,37.66999816894531,26.654593945079686,48.55761962347921,2301,6.0,,,,,,,,,,,,,
12,test,Huber Graph,95,44.984493255615234,36.32830191417441,66.15826011721055,1150,6.0,,,,,,,,,,,,,
12,test,Huber Graph,99,61.66539001464844,71.16071420551908,136.0725971330745,230,6.0,,,,,,,,,,,,,
12,test,Hybrid (Graph + XGB residual),90,37.66999816894531,20.103585927436534,45.61385983309029,2301,6.0,,,,,,,,,,,,,
12,test,Hybrid (Graph + XGB residual),95,44.984493255615234,27.444741078329614,62.712187397456454,1150,6.0,,,,,,,,,,,,,
12,test,Hybrid (Graph + XGB residual),99,61.66539001464844,58.58659966742168,132.61288960367867,230,6.0,,,,,,,,,,,,,
12,test,RF,90,37.66999816894531,19.85337882812557,45.12602254810695,2301,,,,,,,,,,,,,,
12,test,RF,95,44.984493255615234,27.500115878549693,62.23310327826174,1150,,,,,,,,,,,,,,
12,test,RF,99,61.66539001464844,59.538423888189975,131.80492220221694,230,,,,,,,,,,,,,,
12,test,Ridge,90,37.66999816894531,21.31930923461914,45.9706274047285,2301,,,,,,,,,,,,,,
12,test,Ridge,95,44.984493255615234,29.67942237854004,63.12073005360442,1150,,,,,,,,,,,,,,
12,test,Ridge,99,61.66539001464844,63.160499572753906,133.26385803876084,230,,,,,,,,,,,,,,
12,test,Static-Graph Huber,90,37.66999816894531,26.54457065752978,48.489091727203295,2301,6.0,,,,,,,,,,,,,
12,test,Static-Graph Huber,95,44.984493255615234,36.21961052884074,66.09629534466693,1150,6.0,,,,,,,,,,,,,
12,test,Static-Graph Huber,99,61.66539001464844,71.10355946348002,136.03837287048793,230,6.0,,,,,,,,,,,,,
12,test,Static-Graph Ridge,90,37.66999816894531,25.37946891784668,47.58115753882387,2301,6.0,,,,,,,,,,,,,
12,test,Static-Graph Ridge,95,44.984493255615234,35.093780517578125,65.20244540443825,1150,6.0,,,,,,,,,,,,,
12,test,Static-Graph Ridge,99,61.66539001464844,70.15473937988281,135.19962815453673,230,6.0,,,,,,,,,,,,,
12,test,Tuned Huber Graph,90,37.66999816894531,26.645075870821085,48.549420096372224,2301,6.0,3.51476783693441,0.15,1.5423034459301615e-06,18.813886918541737,,,,,,,,,
12,test,Tuned Huber Graph,95,44.984493255615234,36.3221348390175,66.15220736759247,1150,6.0,3.51476783693441,0.15,1.5423034459301615e-06,18.813886918541737,,,,,,,,,
12,test,Tuned Huber Graph,99,61.66539001464844,71.16322782302558,136.0703946628891,230,6.0,3.51476783693441,0.15,1.5423034459301615e-06,18.813886918541737,,,,,,,,,
12,test,Tuned Hybrid (Graph + XGB residual),90,37.66999816894531,19.565900975835927,45.31894614786165,2301,6.0,3.51476783693441,0.15,1.5423034459301615e-06,18.813886918541737,5.0,0.036739616569350174,0.6953030224091644,0.6176442554548824,3.6164944319256045,503.0,3.2417815680746402,5.227837758291698,20.79699058671139
12,test,Tuned Hybrid (Graph + XGB residual),95,44.984493255615234,26.257946651846083,62.25362440427287,1150,6.0,3.51476783693441,0.15,1.5423034459301615e-06,18.813886918541737,5.0,0.036739616569350174,0.6953030224091644,0.6176442554548824,3.6164944319256045,503.0,3.2417815680746402,5.227837758291698,20.79699058671139
12,test,Tuned Hybrid (Graph + XGB residual),99,61.66539001464844,55.72118112150561,131.85014081280798,230,6.0,3.51476783693441,0.15,1.5423034459301615e-06,18.813886918541737,5.0,0.036739616569350174,0.6953030224091644,0.6176442554548824,3.6164944319256045,503.0,3.2417815680746402,5.227837758291698,20.79699058671139
12,test,XGB,90,37.66999816894531,19.526952743530273,45.29047956317641,2301,,,,,,,,,,,,,,
12,test,XGB,95,44.984493255615234,27.247474670410156,62.53875946600536,1150,,,,,,,,,,,,,,
12,test,XGB,99,61.66539001464844,59.36719512939453,132.65112990707993,230,,,,,,,,,,,,,,
24,test,Huber,90,37.66999816894531,21.86065857301303,46.4333212931182,2301,,,,,,,,,,,,,,
24,test,Huber,95,44.984493255615234,29.746604592135174,63.32733045041179,1150,,,,,,,,,,,,,,
24,test,Huber,99,61.66539001464844,61.65652574421839,133.3018061171461,230,,,,,,,,,,,,,,
24,test,Huber Graph,90,37.66999816894531,22.781276261236385,47.96060385127065,2301,0.0,,,,,,,,,,,,,
24,test,Huber Graph,95,44.984493255615234,30.47482857111181,63.799870139364124,1150,0.0,,,,,,,,,,,,,
24,test,Huber Graph,99,61.66539001464844,61.91211724952453,133.77800118370544,230,0.0,,,,,,,,,,,,,
24,test,Hybrid (Graph + XGB residual),90,37.66999816894531,20.32090737107266,46.130609781957,2301,0.0,,,,,,,,,,,,,
24,test,Hybrid (Graph + XGB residual),95,44.984493255615234,27.02619208823687,62.43362435599404,1150,0.0,,,,,,,,,,,,,
24,test,Hybrid (Graph + XGB residual),99,61.66539001464844,56.576387007999934,131.91103278351903,230,0.0,,,,,,,,,,,,,
24,test,RF,90,37.66999816894531,19.916074267990115,45.36997804807336,2301,,,,,,,,,,,,,,
24,test,RF,95,44.984493255615234,27.518618593696132,62.56150581950476,1150,,,,,,,,,,,,,,
24,test,RF,99,61.66539001464844,58.651821814024025,132.45432857192895,230,,,,,,,,,,,,,,
24,test,Ridge,90,37.66999816894531,21.607059478759766,45.91246394720201,2301,,,,,,,,,,,,,,
24,test,Ridge,95,44.984493255615234,29.883447647094727,63.13649531780827,1150,,,,,,,,,,,,,,
24,test,Ridge,99,61.66539001464844,62.589752197265625,133.15149384254013,230,,,,,,,,,,,,,,
24,test,Static-Graph Huber,90,37.66999816894531,22.581954997613565,47.851166534204424,2301,3.0,,,,,,,,,,,,,
24,test,Static-Graph Huber,95,44.984493255615234,30.2495206132378,63.69223671530596,1150,3.0,,,,,,,,,,,,,
24,test,Static-Graph Huber,99,61.66539001464844,61.54983258592814,133.68064711340014,230,3.0,,,,,,,,,,,,,
24,test,Static-Graph Ridge,90,37.66999816894531,23.643754959106445,46.933021382537795,2301,3.0,,,,,,,,,,,,,
24,test,Static-Graph Ridge,95,44.984493255615234,32.15892791748047,63.86824779318652,1150,3.0,,,,,,,,,,,,,
24,test,Static-Graph Ridge,99,61.66539001464844,64.75576782226562,133.72500496588137,230,3.0,,,,,,,,,,,,,
24,test,Tuned Huber Graph,90,37.66999816894531,22.7910086598639,47.970985386888266,2301,0.0,5.074947458268184,0.019830653798949095,3.844359984812361e-05,21.220533147261328,,,,,,,,,
24,test,Tuned Huber Graph,95,44.984493255615234,30.48162418336159,63.80852647722715,1150,0.0,5.074947458268184,0.019830653798949095,3.844359984812361e-05,21.220533147261328,,,,,,,,,
24,test,Tuned Huber Graph,99,61.66539001464844,61.91237792741589,133.78847897479594,230,0.0,5.074947458268184,0.019830653798949095,3.844359984812361e-05,21.220533147261328,,,,,,,,,
24,test,Tuned Hybrid (Graph + XGB residual),90,37.66999816894531,19.38660972779542,46.20510151999846,2301,0.0,5.074947458268184,0.019830653798949095,3.844359984812361e-05,21.220533147261328,6.0,0.01,0.6611149065783134,0.9194467670735247,4.408430771851351,401.0,3.106974864500416,4.888923982706725,19.95053387001518
24,test,Tuned Hybrid (Graph + XGB residual),95,44.984493255615234,25.654605465306567,61.99985123604419,1150,0.0,5.074947458268184,0.019830653798949095,3.844359984812361e-05,21.220533147261328,6.0,0.01,0.6611149065783134,0.9194467670735247,4.408430771851351,401.0,3.106974864500416,4.888923982706725,19.95053387001518
24,test,Tuned Hybrid (Graph + XGB residual),99,61.66539001464844,53.782400662139246,131.3695440178833,230,0.0,5.074947458268184,0.019830653798949095,3.844359984812361e-05,21.220533147261328,6.0,0.01,0.6611149065783134,0.9194467670735247,4.408430771851351,401.0,3.106974864500416,4.888923982706725,19.95053387001518
24,test,XGB,90,37.66999816894531,20.032581329345703,45.39789636250368,2301,,,,,,,,,,,,,,
24,test,XGB,95,44.984493255615234,27.62470054626465,62.567639180779786,1150,,,,,,,,,,,,,,
24,test,XGB,99,61.66539001464844,59.444156646728516,132.44256567707,230,,,,,,,,,,,,,,
