H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
6,test,Tuned-Huber-Graph,95,286.0,126.36470801651413,159.054128958054,2560,0.0,33.30351952935475
6,test,Tuned-Huber-Graph,99,453.0,206.8299590186187,244.54424693117173,513,0.0,33.30351952935475
6,test,Tuned-Hybrid,90,223.0,67.98726763222561,98.74522434469831,5161,0.0,33.30351952935475
6,test,Tuned-Hybrid,95,286.0,85.28810687425694,120.91963776557054,2560,0.0,33.30351952935475
6,test,Tuned-Hybrid,99,453.0,155.7339853296702,200.91410652014997,513,0.0,33.30351952935475
6,test,XGB,90,223.0,95.45999908447266,125.9873738093425,5161,,
6,test,XGB,95,286.0,125.899658203125,159.0481882068293,2560,,
6,test,XGB,99,453.0,214.55218505859375,252.68226713602203,513,,
12,test,Huber,90,223.0,138.0186156381413,166.9032599107672,5161,,
12,test,Huber,95,286.0,185.42889923731315,213.1991012838636,2560,,
12,test,Huber,99,453.0,310.17470525078585,335.3652476131567,513,,
12,test,Huber-Graph,90,223.0,138.1692445629889,167.1403813307464,5161,0.0,
12,test,Huber-Graph,95,286.0,184.00029384436363,212.56103079029273,2560,0.0,
12,test,Huber-Graph,99,453.0,309.2227370387681,333.6966161534177,513,0.0,
12,test,Hybrid,90,223.0,83.14513212683015,116.88987309185895,5161,0.0,
12,test,Hybrid,95,286.0,106.5254343831753,146.74815473751732,2560,0.0,
12,test,Hybrid,99,453.0,195.67380150531736,248.77425397742,513,0.0,
12,test,RF,90,223.0,134.92961061263645,164.33056467365665,5161,,
12,test,RF,95,286.0,184.08200871359057,210.4286815991674,2560,,
12,test,RF,99,453.0,310.42210842045546,331.60041400796626,513,,
12,test,Ridge,90,223.0,138.75399780273438,166.2530368613608,5161,,
12,test,Ridge,95,286.0,188.93240356445312,213.94860108505034,2560,,
12,test,Ridge,99,453.0,315.12310791015625,336.8504745246769,513,,
12,test,SG-Huber,90,223.0,137.01908229464868,166.0091473894466,5161,0.0,
12,test,SG-Huber,95,286.0,182.73951980805546,211.31296863432254,2560,0.0,
12,test,SG-Huber,99,453.0,307.9851392748585,332.28637322229673,513,0.0,
12,test,SG-Ridge,90,223.0,141.26174926757812,168.50996238167937,5161,0.0,
12,test,SG-Ridge,95,286.0,190.17733764648438,215.65059630685002,2560,0.0,
12,test,SG-Ridge,99,453.0,317.8687744140625,338.0777808988636,513,0.0,
12,test,Tuned-Huber-Graph,90,223.0,137.74618684112465,166.72600871357145,5161,0.0,44.87773043860494
12,test,Tuned-Huber-Graph,95,286.0,183.52434992919774,212.10203941332696,2560,0.0,44.87773043860494
12,test,Tuned-Huber-Graph,99,453.0,308.8087774549274,333.22328512563433,513,0.0,44.87773043860494
12,test,Tuned-Hybrid,90,223.0,79.56709949363446,115.20226515466169,5161,0.0,44.87773043860494
