H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
12,test,Ridge,99,506.0,294.8795166015625,335.73010458551374,1183,,
12,test,SG-Huber,90,286.0,179.1390451246387,209.6994925756358,11767,6.0,
12,test,SG-Huber,95,359.0,239.91131274507964,266.2489235822716,5897,6.0,
12,test,SG-Huber,99,506.0,377.9979222280143,405.9109585660682,1183,6.0,
12,test,SG-Ridge,90,286.0,163.42489624023438,196.34302134593426,11767,6.0,
12,test,SG-Ridge,95,359.0,223.03225708007812,251.6725768483726,5897,6.0,
12,test,SG-Ridge,99,506.0,361.0121765136719,391.0106296509086,1183,6.0,
12,test,Tuned-Huber-Graph,90,286.0,179.71476447882537,210.16811411892377,11767,6.0,58.29387299434258
12,test,Tuned-Huber-Graph,95,359.0,240.46451803128323,266.71702942133516,5897,6.0,58.29387299434258
12,test,Tuned-Huber-Graph,99,506.0,378.71547763477776,406.53323994130056,1183,6.0,58.29387299434258
12,test,Tuned-Hybrid,90,286.0,92.7185746100305,132.9695818128571,11767,6.0,58.29387299434258
12,test,Tuned-Hybrid,95,359.0,128.22370326213283,171.69096502089536,5897,6.0,58.29387299434258
12,test,Tuned-Hybrid,99,506.0,263.5598490509437,304.13237786592686,1183,6.0,58.29387299434258
12,test,XGB,90,286.0,112.49211883544922,150.2520018585443,11767,,
12,test,XGB,95,359.0,158.43190002441406,195.2354748118282,5897,,
12,test,XGB,99,506.0,296.63720703125,330.7448506779811,1183,,
24,test,Huber,90,287.0,137.52849675096144,172.35643923184142,11836,,
24,test,Huber,95,359.0,182.2128973104103,217.81823118938104,5913,,
24,test,Huber,99,506.0,311.75490708806876,349.6536521162588,1183,,
24,test,Huber-Graph,90,287.0,139.67641073161104,174.0313367912452,11836,4.0,
24,test,Huber-Graph,95,359.0,182.23867199035624,217.88507838524131,5913,4.0,
24,test,Huber-Graph,99,506.0,306.1283889423256,345.28167006532584,1183,4.0,
24,test,Hybrid,90,287.0,100.93157868031174,139.0173257506298,11836,4.0,
24,test,Hybrid,95,359.0,134.22888327378215,176.4575334113455,5913,4.0,
24,test,Hybrid,99,506.0,263.51416547919445,305.62960958796606,1183,4.0,
24,test,RF,90,287.0,128.07321769626722,164.5540132475423,11836,,
24,test,RF,95,359.0,176.99283179631897,211.87517826383885,5913,,
24,test,RF,99,506.0,315.8886878864603,347.2829049080337,1183,,
24,test,Ridge,90,287.0,129.07464599609375,164.9310461981006,11836,,
24,test,Ridge,95,359.0,173.21775817871094,209.94789160051118,5913,,
24,test,Ridge,99,506.0,303.9804382324219,342.369249677888,1183,,
24,test,SG-Huber,90,287.0,139.7165864428943,174.0463263785801,11836,4.0,
24,test,SG-Huber,95,359.0,182.384098982763,217.95954348525157,5913,4.0,
24,test,SG-Huber,99,506.0,306.25310826821743,345.358978859377,1183,4.0,
24,test,SG-Ridge,90,287.0,132.88841247558594,167.6463854274079,11836,4.0,
24,test,SG-Ridge,95,359.0,176.39634704589844,211.97925163798462,5913,4.0,
24,test,SG-Ridge,99,506.0,302.8270263671875,340.99727363279607,1183,4.0,
24,test,Tuned-Huber-Graph,90,287.0,139.69257583980482,174.03118460085432,11836,4.0,64.15004093995003
24,test,Tuned-Huber-Graph,95,359.0,182.31399087779405,217.91805185044865,5913,4.0,64.15004093995003
24,test,Tuned-Huber-Graph,99,506.0,306.22029509180175,345.3347970563373,1183,4.0,64.15004093995003
24,test,Tuned-Hybrid,90,287.0,95.84110992238867,133.99281280150944,11836,4.0,64.15004093995003
24,test,Tuned-Hybrid,95,359.0,130.26604826560822,171.4297984898183,5913,4.0,64.15004093995003
24,test,Tuned-Hybrid,99,506.0,261.22630119512627,298.5162297805709,1183,4.0,64.15004093995003
24,test,XGB,90,287.0,120.69498443603516,157.27808026311232,11836,,
24,test,XGB,95,359.0,166.74114990234375,203.06612608335246,5913,,
24,test,XGB,99,506.0,304.94378662109375,338.5460871506271,1183,,
