H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
6,test,Ridge,95,1.940000057220459,0.6008197069168091,0.8269774565362905,1816,,
6,test,Ridge,99,3.0876951217651367,0.9757473468780518,1.295338513305236,363,,
6,test,SG-Huber,90,1.590000033378601,0.4824891417444124,0.6842274591473955,3659,0.0,
6,test,SG-Huber,95,1.940000057220459,0.6626221321192413,0.8836164377742834,1816,0.0,
6,test,SG-Huber,99,3.0876951217651367,1.0291088089335518,1.3634037429992603,363,0.0,
6,test,SG-Ridge,90,1.590000033378601,0.4605020582675934,0.6589324939794159,3659,0.0,
6,test,SG-Ridge,95,1.940000057220459,0.634404718875885,0.8525622737211105,1816,0.0,
6,test,SG-Ridge,99,3.0876951217651367,0.9899865388870239,1.3241204869544436,363,0.0,
6,test,Tuned-Huber-Graph,90,1.590000033378601,0.48084002370709195,0.682399125586914,3659,0.0,2.6538374494510917
6,test,Tuned-Huber-Graph,95,1.940000057220459,0.6584203905789171,0.8804897316877974,1816,0.0,2.6538374494510917
6,test,Tuned-Huber-Graph,99,3.0876951217651367,1.0265240520529282,1.3624813302755172,363,0.0,2.6538374494510917
6,test,Tuned-Hybrid,90,1.590000033378601,0.46755636097170067,0.6458569656981953,3659,0.0,2.6538374494510917
6,test,Tuned-Hybrid,95,1.940000057220459,0.5744951164207944,0.7909952252854229,1816,0.0,2.6538374494510917
6,test,Tuned-Hybrid,99,3.0876951217651367,0.8695004807209235,1.181702782126775,363,0.0,2.6538374494510917
6,test,XGB,90,1.590000033378601,0.4470570385456085,0.674276716761677,3659,,
6,test,XGB,95,1.940000057220459,0.6088360548019409,0.8773590371896771,1816,,
6,test,XGB,99,3.0876951217651367,1.0668333768844604,1.4299997291031161,363,,
12,test,Huber,90,1.590000033378601,0.704417174215732,0.9473624736701298,3659,,
12,test,Huber,95,1.940000057220459,0.9778234141893831,1.2297039640833705,1816,,
