H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
1,test,Tuned-Huber-Graph,95,24.399999618530273,1.0812072787561746,1.4428188759108427,2609,2.0,1.1389928228575186
1,test,Tuned-Huber-Graph,99,29.4921875,0.7949140101877922,0.9867970021456854,520,2.0,1.1389928228575186
1,test,Tuned-Hybrid,90,20.899999618530273,0.9768652104574591,1.3482644337835046,5205,2.0,1.1389928228575186
1,test,Tuned-Hybrid,95,24.399999618530273,0.8891001609114816,1.2029826047916654,2609,2.0,1.1389928228575186
1,test,Tuned-Hybrid,99,29.4921875,0.637198795879436,0.8232090160723416,520,2.0,1.1389928228575186
1,test,XGB,90,20.899999618530273,0.852090060710907,1.157525209930942,5205,,
1,test,XGB,95,24.399999618530273,0.8322243690490723,1.111090180411819,2609,,
1,test,XGB,99,29.4921875,0.6093667149543762,0.8311237167575687,520,,
3,test,Huber,90,20.899999618530273,1.3857482485745438,1.810666926741193,5205,,
3,test,Huber,95,24.399999618530273,1.406136212410606,1.8432266334720373,2609,,
3,test,Huber,99,29.4921875,1.1870423881949228,1.471606667457617,520,,
3,test,Huber-Graph,90,20.899999618530273,2.176903699399991,2.919694378093591,5205,2.0,
3,test,Huber-Graph,95,24.399999618530273,2.2493565367388997,3.0192569832433027,2609,2.0,
3,test,Huber-Graph,99,29.4921875,1.7791072098795029,2.2526294924199557,520,2.0,
3,test,Hybrid,90,20.899999618530273,1.492273442279624,1.9634110777772837,5205,2.0,
3,test,Hybrid,95,24.399999618530273,1.3780613746931916,1.815821566385328,2609,2.0,
3,test,Hybrid,99,29.4921875,0.9892750170412825,1.3190291683769704,520,2.0,
3,test,RF,90,20.899999618530273,1.5161719442091783,1.936469171901404,5205,,
3,test,RF,95,24.399999618530273,1.6044597787337642,2.0310037349731536,2609,,
3,test,RF,99,29.4921875,1.573455086638941,2.0004464255493533,520,,
3,test,Ridge,90,20.899999618530273,1.3965919017791748,1.8021589788829555,5205,,
3,test,Ridge,95,24.399999618530273,1.4481576681137085,1.8596002137807426,2609,,
3,test,Ridge,99,29.4921875,1.2931357622146606,1.5707954688867272,520,,
3,test,SG-Huber,90,20.899999618530273,2.1759719941812667,2.919013482574056,5205,2.0,
3,test,SG-Huber,95,24.399999618530273,2.2400133362166668,3.013323384634852,2609,2.0,
3,test,SG-Huber,99,29.4921875,1.7874108991747077,2.2540688165710554,520,2.0,
3,test,SG-Ridge,90,20.899999618530273,2.122917652130127,2.790882104732457,5205,2.0,
3,test,SG-Ridge,95,24.399999618530273,2.23807954788208,2.9179331255146312,2609,2.0,
3,test,SG-Ridge,99,29.4921875,2.025434970855713,2.431210056163128,520,2.0,
3,test,Tuned-Huber-Graph,90,20.899999618530273,2.173514782373179,2.9168412609541154,5205,2.0,1.8931857796848828
3,test,Tuned-Huber-Graph,95,24.399999618530273,2.24099023395575,3.012534060405382,2609,2.0,1.8931857796848828
3,test,Tuned-Huber-Graph,99,29.4921875,1.7753174294858216,2.244382407733212,520,2.0,1.8931857796848828
3,test,Tuned-Hybrid,90,20.899999618530273,1.5140205164595149,2.000801462322309,5205,2.0,1.8931857796848828
3,test,Tuned-Hybrid,95,24.399999618530273,1.3620574306394135,1.795420654526853,2609,2.0,1.8931857796848828
3,test,Tuned-Hybrid,99,29.4921875,0.955079213754224,1.2933109028278775,520,2.0,1.8931857796848828
3,test,XGB,90,20.899999618530273,1.2517324686050415,1.6188779095519081,5205,,
3,test,XGB,95,24.399999618530273,1.2750357389450073,1.6296201463425017,2609,,
3,test,XGB,99,29.4921875,1.0553995370864868,1.3188187766558737,520,,
6,test,Huber,90,20.899999618530273,1.8028855290599644,2.3191043808749034,5205,,
6,test,Huber,95,24.399999618530273,1.9470443707986163,2.4653282492695108,2609,,
6,test,Huber,99,29.4921875,1.860532572836471,2.3147391362082264,520,,
6,test,Huber-Graph,90,20.899999618530273,3.4294003980899244,4.367298090410183,5205,2.0,
